,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
9912,3 punti sbagliato,,Michele Vitali,missed,253,1453,1425.0,448.0,8
9913,3 punti sbagliato,,James Young,missed,264,1464,1005.0,812.0,7
9914,2 punti sbagliato,,Terry Allen,missed,276,1476,975.0,168.0,0
9915,3 punti segnato,Terry Allen,James Young,made,307,1507,195.0,700.0,6
9916,3 punti sbagliato,,Terry Allen,missed,344,1544,1410.0,588.0,7
9917,2 punti segnato,,Langston Galloway,made,357,1557,825.0,224.0,0
9918,2 punti sbagliato,,Deishuan Booker,missed,367,1567,765.0,280.0,0
9919,3 punti sbagliato,,Jamar Smith,missed,373,1573,1050.0,840.0,7
9920,2 punti segnato,,D'Angelo Harrison,made,387,1587,465.0,700.0,2
9921,3 punti segnato,,Langston Galloway,made,404,1604,825.0,896.0,7
9922,2 punti segnato,,James Young,made,415,1615,585.0,672.0,2
9923,2 punti segnato,,Langston Galloway,made,434,1634,795.0,672.0,3
9924,2 punti sbagliato,,Jamar Smith,missed,450,1650,570.0,672.0,2
9925,2 punti sbagliato,,Deishuan Booker,missed,467,1667,765.0,280.0,0
9926,2 punti sbagliato,,Darion Atkins,missed,480,1680,840.0,224.0,0
9927,2 punti segnato,,Darion Atkins,made,480,1680,840.0,224.0,0
9928,3 punti sbagliato,,Terry Allen,missed,507,1707,60.0,196.0,5
9929,3 punti sbagliato,,D'Angelo Harrison,missed,534,1734,735.0,868.0,6
9930,3 punti segnato,,Langston Galloway,made,557,1757,930.0,868.0,7
9931,2 punti sbagliato,,Pauly Paulicap,missed,572,1772,855.0,280.0,0
9932,2 punti sbagliato,,Jamar Smith,missed,579,1779,915.0,700.0,3
9933,3 punti sbagliato,,Leonardo Faggian,missed,599,1799,390.0,840.0,6
9934,2 punti segnato,,,made,26,1826,825.0,308.0,0
9935,2 punti segnato,,Jamar Smith,made,54,1854,720.0,448.0,2
9936,2 punti segnato,D'Angelo Harrison,James Young,made,71,1871,525.0,532.0,2
9937,2 punti sbagliato,,Darion Atkins,missed,96,1896,765.0,504.0,3
9938,2 punti sbagliato,,Jamar Smith,missed,106,1906,810.0,532.0,3
9939,2 punti sbagliato,,James Young,missed,142,1942,885.0,672.0,3
9940,3 punti sbagliato,,Langston Galloway,missed,164,1964,1200.0,868.0,7
9941,3 punti sbagliato,,Jamar Smith,missed,191,1991,1335.0,700.0,7
9942,2 punti segnato,,Deishuan Booker,made,207,2007,765.0,420.0,3
9943,3 punti sbagliato,,Sasha Grant,missed,224,2024,195.0,700.0,6
9944,2 punti segnato,,Briante Weber,made,229,2029,825.0,308.0,0
9945,2 punti segnato,,Terry Allen,made,234,2034,795.0,252.0,0
9946,2 punti segnato,Jamar Smith,Kevin Juwan Hervey,made,249,2049,795.0,280.0,0
9947,2 punti sbagliato,,Andrea Mezzanotte,missed,287,2087,615.0,476.0,2
9948,3 punti segnato,Jamar Smith,Kevin Juwan Hervey,made,311,2111,1185.0,840.0,7
9949,3 punti sbagliato,,Briante Weber,missed,346,2146,1200.0,952.0,7
9950,3 punti segnato,,D'Angelo Harrison,made,348,2148,1185.0,812.0,7
9951,2 punti segnato,,Jamar Smith,made,362,2162,870.0,728.0,3
9952,2 punti segnato,,D'Angelo Harrison,made,378,2178,690.0,364.0,0
9953,3 punti sbagliato,,David Torresani,missed,378,2178,855.0,868.0,7
9954,3 punti sbagliato,,Darion Atkins,missed,378,2178,990.0,896.0,7
9955,3 punti sbagliato,,Langston Galloway,missed,378,2178,1215.0,812.0,7
9956,3 punti sbagliato,,James Young,missed,464,2264,1290.0,728.0,7
9957,2 punti sbagliato,,Briante Weber,missed,485,2285,705.0,588.0,2
9958,3 punti sbagliato,,James Young,missed,494,2294,1350.0,812.0,7
9959,2 punti segnato,Darion Atkins,Sasha Grant,made,521,2321,705.0,252.0,0
9960,3 punti sbagliato,,D'Angelo Harrison,missed,529,2329,1170.0,812.0,7
9961,3 punti segnato,Darion Atkins,,made,552,2352,1230.0,784.0,7
9962,3 punti sbagliato,,Terry Allen,missed,562,2362,1140.0,896.0,7
9963,2 punti segnato,,David Torresani,made,562,2362,1140.0,896.0,7
9964,3 punti sbagliato,,Langston Galloway,missed,582,2382,1035.0,896.0,7
9965,3 punti segnato,,D'Angelo Harrison,made,586,2386,975.0,924.0,7
9966,3 punti segnato,Tariq Owens,Justin Kyle Jaworski,made,19,19,1290.0,644.0,7
9967,2 punti segnato,Isaia Cordinier,Bryant Dunston,made,42,42,825.0,28.0,0
9968,2 punti segnato,,Tyler Ennis,made,63,63,810.0,140.0,0
9969,3 punti sbagliato,,Marco Belinelli,missed,79,79,810.0,868.0,7
9970,2 punti segnato,Justin Kyle Jaworski,Tariq Owens,made,90,90,765.0,112.0,0
9971,2 punti segnato,Daniel Hackett,Marco Belinelli,made,113,113,765.0,672.0,3
9972,3 punti sbagliato,,Tomislav Zubcic,missed,133,133,90.0,560.0,6
9973,2 punti segnato,,Tornike Shengelia,made,150,150,630.0,112.0,0
9974,3 punti sbagliato,,Tomislav Zubcic,missed,179,179,930.0,896.0,7
9975,3 punti segnato,,Tomislav Zubcic,made,197,197,60.0,448.0,5
9976,2 punti sbagliato,,Michal Sokolowski,missed,218,218,585.0,196.0,0
9977,3 punti sbagliato,,Tyler Ennis,missed,252,252,1305.0,672.0,7
9978,3 punti segnato,Isaia Cordinier,Daniel Hackett,made,262,262,1290.0,700.0,7
9979,3 punti segnato,Marco Belinelli,Tornike Shengelia,made,292,292,225.0,700.0,6
9980,2 punti segnato,Tyler Ennis,Tariq Owens,made,307,307,840.0,140.0,0
9981,3 punti segnato,Tyler Ennis,,made,336,336,660.0,896.0,6
9982,3 punti sbagliato,,Daniel Hackett,missed,349,349,1110.0,840.0,7
9983,2 punti segnato,Michal Sokolowski,Alessandro Lever,made,370,370,720.0,252.0,0
9984,2 punti sbagliato,,Tyler Ennis,missed,405,405,735.0,252.0,0
9985,2 punti sbagliato,,Jordan Mickey,missed,419,419,705.0,504.0,2
9986,2 punti sbagliato,,Tomislav Zubcic,missed,429,429,1095.0,252.0,4
9987,3 punti sbagliato,,Jaleen Smith,missed,446,446,345.0,840.0,6
9988,2 punti segnato,,Marco Belinelli,made,461,461,945.0,532.0,3
9989,3 punti sbagliato,,Alessandro Lever,missed,480,480,255.0,728.0,6
9990,2 punti segnato,Jordan Mickey,Alessandro Pajola,made,497,497,435.0,280.0,1
9991,2 punti sbagliato,,Michal Sokolowski,missed,520,520,825.0,140.0,0
9992,3 punti segnato,,Marco Belinelli,made,527,527,915.0,896.0,7
9993,3 punti sbagliato,,Tomislav Zubcic,missed,557,557,15.0,140.0,5
9994,3 punti segnato,Alessandro Lever,Tyler Ennis,made,566,566,285.0,784.0,6
9995,2 punti segnato,,Alessandro Pajola,made,590,590,780.0,168.0,0
9996,3 punti sbagliato,,Jordan Mickey,missed,19,619,1455.0,224.0,8
9997,2 punti segnato,,Alessandro Pajola,made,19,619,1455.0,224.0,8
9998,2 punti sbagliato,,Jacob Pullen,missed,39,639,660.0,112.0,0
9999,2 punti segnato,,Jordan Mickey,made,51,651,645.0,112.0,0
10000,3 punti sbagliato,,Jacob Pullen,missed,78,678,690.0,952.0,6
10001,3 punti segnato,Ognjen Dobric,Abass Awudu Abass,made,100,700,1455.0,280.0,8
10002,2 punti sbagliato,,Jacob Pullen,missed,121,721,630.0,28.0,0
10003,3 punti sbagliato,,Abass Awudu Abass,missed,128,728,1395.0,560.0,7
10004,2 punti sbagliato,,Jordan Mickey,missed,133,733,735.0,336.0,0
10005,3 punti segnato,Jaleen Smith,Jordan Mickey,made,149,749,855.0,924.0,7
10006,2 punti sbagliato,,Alessandro Lever,missed,171,771,585.0,140.0,0
10007,2 punti sbagliato,,Jordan Mickey,missed,180,780,405.0,336.0,1
10008,3 punti sbagliato,,Jaleen Smith,missed,228,828,1395.0,672.0,7
10009,2 punti sbagliato,,Tyler Ennis,missed,238,838,675.0,140.0,0
10010,3 punti segnato,Alessandro Pajola,Jaleen Smith,made,264,864,240.0,784.0,6
10011,2 punti segnato,,Alessandro Pajola,made,292,892,735.0,140.0,0
10012,3 punti segnato,Tyler Ennis,Justin Kyle Jaworski,made,301,901,1425.0,420.0,8
10013,2 punti sbagliato,,Bryant Dunston,missed,321,921,690.0,420.0,2
10014,2 punti sbagliato,,Tomislav Zubcic,missed,337,937,885.0,336.0,0
10015,2 punti sbagliato,,Tyler Ennis,missed,357,957,420.0,280.0,1
10016,3 punti sbagliato,,Ognjen Dobric,missed,367,967,375.0,868.0,6
10017,3 punti sbagliato,,Justin Kyle Jaworski,missed,381,981,1035.0,840.0,7
10018,2 punti sbagliato,,Abass Awudu Abass,missed,393,993,255.0,252.0,1
10019,3 punti sbagliato,,Tomislav Zubcic,missed,407,1007,45.0,420.0,5
10020,3 punti sbagliato,,Abass Awudu Abass,missed,428,1028,105.0,644.0,6
10021,2 punti segnato,,Ognjen Dobric,made,445,1045,765.0,476.0,3
10022,3 punti sbagliato,,Ognjen Dobric,missed,491,1091,1395.0,476.0,8
10023,3 punti sbagliato,,Isaia Cordinier,missed,528,1128,1455.0,392.0,8
10024,3 punti sbagliato,,Michal Sokolowski,missed,535,1135,150.0,588.0,6
10025,2 punti segnato,,Tornike Shengelia,made,556,1156,735.0,56.0,0
10026,2 punti segnato,,Justin Kyle Jaworski,made,572,1172,720.0,112.0,0
10027,3 punti sbagliato,,Jaleen Smith,missed,595,1195,975.0,868.0,7
10028,2 punti segnato,,Tyler Ennis,made,17,1217,720.0,56.0,0
10029,3 punti sbagliato,,Isaia Cordinier,missed,43,1243,45.0,196.0,5
10030,3 punti segnato,Alessandro Pajola,Marco Belinelli,made,123,1323,570.0,896.0,6
10031,2 punti segnato,,Tyler Ennis,made,137,1337,915.0,364.0,3
10032,3 punti segnato,Alessandro Pajola,Marco Belinelli,made,156,1356,1275.0,700.0,7
10033,3 punti sbagliato,,Marco Belinelli,missed,199,1399,825.0,896.0,7
10034,2 punti sbagliato,,Tyler Ennis,missed,214,1414,690.0,56.0,0
10035,3 punti segnato,Tyler Ennis,Tomislav Zubcic,made,236,1436,195.0,784.0,6
10036,3 punti segnato,Isaia Cordinier,Alessandro Pajola,made,252,1452,210.0,672.0,6
10037,2 punti segnato,,Isaia Cordinier,made,277,1477,675.0,84.0,0
10038,3 punti segnato,Tyler Ennis,Tomislav Zubcic,made,288,1488,270.0,728.0,6
10039,3 punti sbagliato,,Marco Belinelli,missed,313,1513,1440.0,420.0,8
10040,3 punti segnato,Tyler Ennis,Justin Kyle Jaworski,made,325,1525,45.0,196.0,5
10041,3 punti sbagliato,,Jordan Mickey,missed,341,1541,150.0,728.0,6
10042,3 punti sbagliato,,Marco Belinelli,missed,355,1555,1395.0,588.0,7
10043,3 punti sbagliato,,Marco Belinelli,missed,370,1570,1440.0,280.0,8
10044,2 punti sbagliato,,Jacob Pullen,missed,380,1580,615.0,252.0,0
10045,2 punti segnato,,Jordan Mickey,made,399,1599,810.0,56.0,0
10046,3 punti segnato,,Jacob Pullen,made,415,1615,435.0,896.0,6
10047,2 punti sbagliato,,Abass Awudu Abass,missed,437,1637,1290.0,252.0,4
10048,3 punti segnato,Alessandro Pajola,Abass Awudu Abass,made,485,1685,1455.0,140.0,8
10049,3 punti sbagliato,,Jacob Pullen,missed,512,1712,690.0,924.0,6
10050,2 punti sbagliato,,Jacob Pullen,missed,556,1756,705.0,56.0,0
10051,3 punti sbagliato,,Jacob Pullen,missed,588,1788,645.0,868.0,6
10052,2 punti segnato,Jordan Mickey,Ognjen Dobric,made,17,1817,765.0,280.0,0
10053,2 punti segnato,Tyler Ennis,Tariq Owens,made,34,1834,735.0,112.0,0
10054,3 punti sbagliato,,Abass Awudu Abass,missed,53,1853,1425.0,448.0,8
10055,2 punti sbagliato,,Tyler Ennis,missed,62,1862,630.0,140.0,0
10056,2 punti sbagliato,,Tyler Ennis,missed,95,1895,375.0,364.0,1
10057,3 punti sbagliato,,Jaleen Smith,missed,114,1914,750.0,924.0,6
10058,2 punti sbagliato,,Abass Awudu Abass,missed,120,1920,870.0,168.0,0
10059,3 punti sbagliato,,Abass Awudu Abass,missed,171,1971,1485.0,112.0,8
10060,2 punti segnato,,Jordan Mickey,made,174,1974,810.0,140.0,0
10061,2 punti segnato,,Jacob Pullen,made,183,1983,705.0,308.0,0
10062,2 punti segnato,,Jordan Mickey,made,219,2019,735.0,420.0,2
10063,2 punti segnato,,Tyler Ennis,made,228,2028,690.0,112.0,0
10064,2 punti sbagliato,,Tariq Owens,missed,243,2043,525.0,616.0,2
10065,3 punti sbagliato,,Tyler Ennis,missed,248,2048,1335.0,560.0,7
10066,3 punti sbagliato,,Justin Kyle Jaworski,missed,260,2060,165.0,560.0,6
10067,2 punti segnato,,Michal Sokolowski,made,260,2060,165.0,560.0,6
10068,2 punti segnato,Tyler Ennis,Tariq Owens,made,281,2081,720.0,140.0,0
10069,3 punti segnato,Jaleen Smith,Tornike Shengelia,made,305,2105,1440.0,336.0,8
10070,3 punti segnato,Jacob Pullen,Tomislav Zubcic,made,328,2128,1455.0,336.0,8
10071,2 punti sbagliato,,Jordan Mickey,missed,342,2142,1065.0,476.0,3
10072,2 punti sbagliato,,Tornike Shengelia,missed,357,2157,915.0,56.0,0
10073,2 punti segnato,,Jordan Mickey,made,357,2157,915.0,56.0,0
10074,3 punti sbagliato,,Jacob Pullen,missed,390,2190,960.0,924.0,7
10075,2 punti sbagliato,,Jordan Mickey,missed,419,2219,795.0,196.0,0
10076,2 punti segnato,,Jordan Mickey,made,419,2219,795.0,196.0,0
10077,2 punti sbagliato,,Jacob Pullen,missed,441,2241,750.0,140.0,0
10078,2 punti segnato,,Tariq Owens,made,441,2241,750.0,140.0,0
10079,2 punti sbagliato,,Bruno Mascolo,missed,464,2264,630.0,252.0,0
10080,2 punti sbagliato,,Giovanni De Nicolao,missed,486,2286,465.0,168.0,1
10081,2 punti segnato,,Tariq Owens,made,486,2286,465.0,168.0,1
10082,2 punti segnato,Bruno Mascolo,Ognjen Dobric,made,504,2304,645.0,168.0,0
10083,2 punti segnato,Giovanni De Nicolao,Alessandro Lever,made,522,2322,795.0,364.0,0
10084,3 punti segnato,Bryant Dunston,Bruno Mascolo,made,533,2333,45.0,112.0,5
10085,2 punti segnato,,Giovanni De Nicolao,made,600,2400,645.0,336.0,0
10086,2 punti segnato,Tyler Ennis,,made,22,22,750.0,140.0,0
10087,2 punti segnato,Ray Mccallum,Trevon Bluiett,made,39,39,405.0,336.0,1
10088,2 punti segnato,,Justin Kyle Jaworski,made,60,60,825.0,588.0,3
10089,2 punti segnato,,Quincy Ford,made,76,76,1080.0,560.0,3
10090,3 punti segnato,Tomislav Zubcic,Justin Kyle Jaworski,made,98,98,150.0,560.0,6
10091,2 punti segnato,Leonardo Totè,Scott Bamforth,made,110,110,1170.0,252.0,4
10092,2 punti segnato,,Tomislav Zubcic,made,136,136,525.0,252.0,0
10093,2 punti sbagliato,,Scott Bamforth,missed,158,158,855.0,588.0,3
10094,3 punti segnato,Tyler Ennis,Tomislav Zubcic,made,165,165,1230.0,784.0,7
10095,2 punti segnato,,Ray Mccallum,made,178,178,615.0,280.0,0
10096,3 punti segnato,,Michal Sokolowski,made,189,189,1140.0,868.0,7
10097,2 punti sbagliato,,Michal Sokolowski,missed,197,197,1140.0,308.0,4
10098,3 punti sbagliato,,Trevon Bluiett,missed,205,205,240.0,840.0,6
10099,2 punti sbagliato,,Tomislav Zubcic,missed,215,215,810.0,588.0,3
10100,2 punti sbagliato,,Justin Kyle Jaworski,missed,234,234,615.0,420.0,2
10101,3 punti sbagliato,,Tomislav Zubcic,missed,270,270,975.0,952.0,7
10102,2 punti sbagliato,,Tyler Ennis,missed,295,295,690.0,364.0,0
10103,2 punti segnato,,Tariq Owens,made,300,300,855.0,364.0,0
10104,2 punti segnato,Scott Bamforth,Leonardo Totè,made,310,310,750.0,420.0,2
10105,3 punti sbagliato,,Tomislav Zubcic,missed,319,319,420.0,868.0,6
10106,3 punti sbagliato,,Ray Mccallum,missed,329,329,1470.0,280.0,8
10107,2 punti segnato,Quincy Ford,Trevon Bluiett,made,353,353,315.0,280.0,1
10108,3 punti segnato,Ray Mccallum,Quincy Ford,made,371,371,1380.0,672.0,7
10109,3 punti sbagliato,,Jacob Pullen,missed,406,406,315.0,784.0,6
10110,3 punti segnato,Scott Bamforth,Trevon Bluiett,made,426,426,1260.0,784.0,7
10111,2 punti sbagliato,,Leonardo Totè,missed,460,460,570.0,448.0,2
10112,2 punti sbagliato,,Tariq Owens,missed,476,476,360.0,224.0,1
10113,3 punti sbagliato,,Justin Kyle Jaworski,missed,536,536,1095.0,840.0,7
10114,3 punti sbagliato,,Jacob Pullen,missed,544,544,315.0,924.0,6
10115,2 punti sbagliato,,Alessandro Lever,missed,589,589,1200.0,336.0,4
10116,2 punti sbagliato,,Matteo Tambone,missed,599,599,1155.0,336.0,4
10117,3 punti sbagliato,,Riccardo Visconti,missed,14,614,285.0,812.0,6
10118,3 punti sbagliato,,Jacob Pullen,missed,32,632,1155.0,812.0,7
10119,3 punti sbagliato,,Matteo Tambone,missed,45,645,270.0,728.0,6
10120,2 punti sbagliato,,Egidijus Mockevicius,missed,73,673,390.0,420.0,2
10121,2 punti sbagliato,,Egidijus Mockevicius,missed,80,680,750.0,336.0,0
10122,3 punti sbagliato,,Tomislav Zubcic,missed,85,685,1230.0,812.0,7
10123,3 punti segnato,Michal Sokolowski,Tomislav Zubcic,made,119,719,360.0,784.0,6
10124,2 punti segnato,Justin Kyle Jaworski,Tyler Ennis,made,146,746,630.0,308.0,0
10125,2 punti segnato,Valerio Mazzola,Leonardo Totè,made,161,761,630.0,336.0,0
10126,2 punti sbagliato,,Michal Sokolowski,missed,176,776,345.0,308.0,1
10127,2 punti segnato,Leonardo Totè,Ray Mccallum,made,197,797,990.0,532.0,3
10128,3 punti sbagliato,,Riccardo Visconti,missed,215,815,1410.0,504.0,8
10129,3 punti segnato,Tomislav Zubcic,Justin Kyle Jaworski,made,223,823,90.0,420.0,5
10130,2 punti segnato,Michal Sokolowski,Tariq Owens,made,272,872,765.0,140.0,0
10131,2 punti sbagliato,,Ray Mccallum,missed,298,898,255.0,252.0,1
10132,2 punti segnato,Tomislav Zubcic,Justin Kyle Jaworski,made,311,911,600.0,252.0,0
10133,3 punti sbagliato,,Trevon Bluiett,missed,326,926,45.0,308.0,5
10134,2 punti segnato,,Michal Sokolowski,made,332,932,840.0,308.0,0
10135,3 punti sbagliato,,Ray Mccallum,missed,363,963,1155.0,840.0,7
10136,2 punti segnato,Tomislav Zubcic,Tyler Ennis,made,372,972,990.0,364.0,3
10137,3 punti sbagliato,,Matteo Tambone,missed,386,986,255.0,700.0,6
10138,2 punti sbagliato,,Quincy Ford,missed,392,992,930.0,308.0,0
10139,2 punti segnato,Jacob Pullen,Tariq Owens,made,398,998,765.0,140.0,0
10140,3 punti segnato,,Tyler Ennis,made,432,1032,1110.0,896.0,7
10141,3 punti sbagliato,,Trevon Bluiett,missed,445,1045,90.0,448.0,5
10142,3 punti sbagliato,,Matteo Tambone,missed,451,1051,1275.0,728.0,7
10143,3 punti sbagliato,,Jacob Pullen,missed,474,1074,1005.0,924.0,7
10144,2 punti segnato,,Matteo Tambone,made,488,1088,975.0,476.0,3
10145,2 punti segnato,,Jacob Pullen,made,507,1107,1080.0,336.0,4
10146,2 punti sbagliato,,Scott Bamforth,missed,526,1126,1065.0,224.0,4
10147,3 punti sbagliato,,Jacob Pullen,missed,536,1136,1365.0,644.0,7
10148,3 punti sbagliato,,Matteo Tambone,missed,553,1153,450.0,868.0,6
10149,2 punti segnato,,Jacob Pullen,made,562,1162,585.0,252.0,0
10150,2 punti segnato,Matteo Tambone,Leonardo Totè,made,582,1182,660.0,280.0,0
10151,3 punti sbagliato,,Jacob Pullen,missed,594,1194,765.0,1092.0,7
10152,2 punti segnato,,Tyler Ennis,made,22,1222,675.0,448.0,2
10153,2 punti sbagliato,,Tyler Ennis,missed,61,1261,900.0,448.0,3
10154,2 punti segnato,Scott Bamforth,Ray Mccallum,made,68,1268,915.0,336.0,0
10155,2 punti segnato,Justin Kyle Jaworski,Tariq Owens,made,88,1288,435.0,560.0,2
10156,3 punti segnato,Trevon Bluiett,Scott Bamforth,made,101,1301,90.0,448.0,5
10157,3 punti segnato,Tyler Ennis,Justin Kyle Jaworski,made,115,1315,285.0,756.0,6
10158,3 punti segnato,Trevon Bluiett,Quincy Ford,made,131,1331,1365.0,644.0,7
10159,2 punti sbagliato,,Tyler Ennis,missed,152,1352,855.0,280.0,0
10160,3 punti sbagliato,,Justin Kyle Jaworski,missed,157,1357,1020.0,924.0,7
10161,3 punti segnato,Ray Mccallum,Trevon Bluiett,made,164,1364,1410.0,504.0,8
10162,2 punti segnato,,Tyler Ennis,made,213,1413,840.0,420.0,3
10163,3 punti sbagliato,,Quincy Ford,missed,232,1432,135.0,588.0,6
10164,3 punti sbagliato,,Michal Sokolowski,missed,240,1440,1260.0,728.0,7
10165,2 punti sbagliato,,Leonardo Totè,missed,260,1460,1050.0,560.0,3
10166,3 punti segnato,Michal Sokolowski,Justin Kyle Jaworski,made,267,1467,1455.0,336.0,8
10167,2 punti sbagliato,,Scott Bamforth,missed,308,1508,645.0,252.0,0
10168,3 punti sbagliato,,Scott Bamforth,missed,314,1514,75.0,364.0,5
10169,3 punti sbagliato,,Jacob Pullen,missed,325,1525,555.0,1008.0,6
10170,2 punti sbagliato,,Matteo Tambone,missed,347,1547,960.0,560.0,3
10171,2 punti segnato,,Jacob Pullen,made,379,1579,915.0,308.0,0
10172,2 punti sbagliato,,Matteo Tambone,missed,401,1601,855.0,392.0,3
10173,2 punti sbagliato,,Scott Bamforth,missed,401,1601,825.0,392.0,3
10174,3 punti segnato,Jacob Pullen,Tomislav Zubcic,made,412,1612,270.0,728.0,6
10175,2 punti segnato,Scott Bamforth,Egidijus Mockevicius,made,449,1649,765.0,336.0,0
10176,3 punti segnato,Jacob Pullen,Tomislav Zubcic,made,464,1664,390.0,812.0,6
10177,2 punti sbagliato,,Egidijus Mockevicius,missed,482,1682,990.0,252.0,4
10178,2 punti segnato,Scott Bamforth,Egidijus Mockevicius,made,510,1710,900.0,224.0,0
10179,2 punti sbagliato,,Jacob Pullen,missed,537,1737,465.0,420.0,2
10180,2 punti segnato,,Andrea Mabor Dut Biar,made,543,1743,675.0,336.0,0
10181,2 punti sbagliato,,Scott Bamforth,missed,551,1751,660.0,476.0,2
10182,2 punti sbagliato,,Giovanni De Nicolao,missed,569,1769,930.0,560.0,3
10183,3 punti sbagliato,,Riccardo Visconti,missed,14,1814,345.0,868.0,6
10184,3 punti segnato,Alessandro Lever,Justin Kyle Jaworski,made,28,1828,150.0,560.0,6
10185,2 punti segnato,Matteo Tambone,Leonardo Totè,made,52,1852,900.0,392.0,3
10186,3 punti sbagliato,,Alessandro Lever,missed,62,1862,1095.0,896.0,7
10187,2 punti sbagliato,,Matteo Tambone,missed,81,1881,1185.0,476.0,3
10188,3 punti sbagliato,,Alessandro Lever,missed,98,1898,315.0,784.0,6
10189,2 punti segnato,,Riccardo Visconti,made,107,1907,870.0,448.0,3
10190,2 punti sbagliato,,Michal Sokolowski,missed,121,1921,825.0,420.0,3
10191,3 punti segnato,Michal Sokolowski,Justin Kyle Jaworski,made,125,1925,240.0,756.0,6
10192,2 punti segnato,,Michal Sokolowski,made,145,1945,570.0,336.0,2
10193,2 punti segnato,Ray Mccallum,Riccardo Visconti,made,156,1956,975.0,644.0,3
10194,2 punti segnato,,Tariq Owens,made,173,1973,945.0,448.0,3
10195,3 punti sbagliato,,Valerio Mazzola,missed,183,1983,90.0,504.0,5
10196,2 punti segnato,,Leonardo Totè,made,183,1983,90.0,504.0,5
10197,2 punti segnato,Tyler Ennis,Tariq Owens,made,202,2002,750.0,140.0,0
10198,2 punti segnato,,Michal Sokolowski,made,219,2019,765.0,112.0,0
10199,2 punti sbagliato,,Riccardo Visconti,missed,232,2032,1110.0,280.0,4
10200,2 punti segnato,,Tyler Ennis,made,241,2041,900.0,308.0,0
10201,3 punti segnato,Ray Mccallum,Trevon Bluiett,made,247,2047,465.0,924.0,6
10202,3 punti sbagliato,,Tyler Ennis,missed,277,2077,1410.0,476.0,8
10203,3 punti sbagliato,,Riccardo Visconti,missed,293,2093,1425.0,644.0,7
10204,3 punti sbagliato,,Justin Kyle Jaworski,missed,308,2108,450.0,812.0,6
10205,2 punti segnato,,Ray Mccallum,made,335,2135,645.0,672.0,2
10206,3 punti segnato,,Jacob Pullen,made,355,2155,165.0,616.0,6
10207,2 punti sbagliato,,Leonardo Totè,missed,377,2177,1035.0,532.0,3
10208,3 punti segnato,Tomislav Zubcic,Justin Kyle Jaworski,made,397,2197,1455.0,280.0,8
10209,2 punti sbagliato,,Trevon Bluiett,missed,409,2209,555.0,308.0,2
10210,2 punti sbagliato,,Tyler Ennis,missed,428,2228,735.0,672.0,2
10211,2 punti sbagliato,,Tomislav Zubcic,missed,432,2232,705.0,532.0,2
10212,2 punti segnato,,Trevon Bluiett,made,438,2238,645.0,252.0,0
10213,2 punti segnato,,Quincy Ford,made,459,2259,645.0,168.0,0
10214,2 punti sbagliato,,Tyler Ennis,missed,483,2283,780.0,560.0,3
10215,2 punti segnato,Riccardo Visconti,Quincy Ford,made,496,2296,780.0,420.0,3
10216,2 punti segnato,,Alessandro Lever,made,549,2349,825.0,560.0,3
10217,3 punti sbagliato,,Charlie Edward Moore,missed,15,15,1155.0,812.0,7
10218,2 punti segnato,Marco Spissu,Amedeo Tessitori,made,46,46,780.0,196.0,0
10219,2 punti segnato,,Payton Terrell Willis,made,64,64,765.0,532.0,3
10220,3 punti sbagliato,,Amedeo Tessitori,missed,87,87,285.0,728.0,6
10221,3 punti segnato,,Payton Terrell Willis,made,102,102,690.0,896.0,6
10222,3 punti sbagliato,,Rayjon Tucker,missed,119,119,150.0,588.0,6
10223,3 punti sbagliato,,Payton Terrell Willis,missed,135,135,240.0,728.0,6
10224,3 punti sbagliato,,Ryan Hawkins,missed,153,153,330.0,784.0,6
10225,3 punti sbagliato,,Marco Spissu,missed,162,162,60.0,140.0,5
10226,2 punti sbagliato,,Jordon Varnado,missed,178,178,870.0,532.0,3
10227,2 punti sbagliato,,Amedeo Tessitori,missed,194,194,600.0,224.0,0
10228,2 punti segnato,,Marco Spissu,made,199,199,795.0,252.0,0
10229,2 punti sbagliato,,Derek Ogbeide,missed,209,209,480.0,392.0,2
10230,2 punti sbagliato,,Davide Casarin,missed,227,227,600.0,280.0,0
10231,3 punti sbagliato,,Aamir Simms,missed,231,231,225.0,700.0,6
10232,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,243,243,765.0,112.0,0
10233,2 punti sbagliato,,Jordon Varnado,missed,275,275,630.0,196.0,0
10234,2 punti sbagliato,,Amedeo Tessitori,missed,288,288,690.0,224.0,0
10235,2 punti segnato,Derek Ogbeide,Jordon Varnado,made,308,308,735.0,168.0,0
10236,3 punti sbagliato,,Marco Spissu,missed,322,322,405.0,812.0,6
10237,2 punti segnato,,Davide Casarin,made,334,334,795.0,168.0,0
10238,2 punti sbagliato,,Kyle Wiltjer,missed,367,367,420.0,280.0,1
10239,3 punti sbagliato,,Jordon Varnado,missed,383,383,870.0,868.0,7
10240,2 punti sbagliato,,Alex O'Connell,missed,391,391,405.0,168.0,1
10241,2 punti sbagliato,,Marco Spissu,missed,400,400,870.0,196.0,0
10242,2 punti segnato,,Amedeo Tessitori,made,400,400,870.0,196.0,0
10243,3 punti segnato,,Charlie Edward Moore,made,409,409,1005.0,868.0,7
10244,3 punti segnato,Rayjon Tucker,Amedeo Tessitori,made,426,426,1170.0,784.0,7
