,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
4924,2 punti sbagliato,,Andrea Pecchia,missed,151,151,660.0,252.0,0
4925,2 punti segnato,,Andrea Pecchia,made,176,176,810.0,308.0,0
4926,2 punti segnato,Kyle Hines,Devon Hall,made,188,188,675.0,224.0,0
4927,3 punti sbagliato,,Marcus Zegarowski,missed,215,215,525.0,896.0,6
4928,2 punti segnato,,Shabazz Napier,made,234,234,885.0,280.0,0
4929,2 punti sbagliato,,Andrea Pecchia,missed,254,254,780.0,280.0,0
4930,2 punti sbagliato,,Devon Hall,missed,276,276,285.0,420.0,1
4931,3 punti sbagliato,,Shabazz Napier,missed,312,312,1275.0,812.0,7
4932,3 punti sbagliato,,Stefano Tonut,missed,327,327,435.0,868.0,6
4933,3 punti sbagliato,,Davide Denegri,missed,351,351,1230.0,840.0,7
4934,2 punti segnato,,Stefano Tonut,made,371,371,855.0,196.0,0
4935,3 punti sbagliato,,Davide Denegri,missed,405,405,210.0,728.0,6
4936,2 punti sbagliato,,Devon Hall,missed,418,418,510.0,280.0,1
4937,2 punti segnato,Diego Flaccadori,Johannes Voigtmann,made,445,445,855.0,476.0,3
4938,2 punti segnato,Johannes Voigtmann,Stefano Tonut,made,486,486,570.0,196.0,0
4939,3 punti sbagliato,,Trevor Lacey,missed,508,508,720.0,952.0,6
4940,2 punti segnato,,Trevor Lacey,made,528,528,645.0,308.0,0
4941,2 punti segnato,,Diego Flaccadori,made,584,584,555.0,700.0,2
4942,2 punti sbagliato,,Marcus Zegarowski,missed,597,597,945.0,336.0,3
