"description","assist","player","result","periodTime","totalTime","xx","yy"
"3 punti segnato","Davide Moretti","Gabe Brown","made",1,1,1455,280
"2 punti sbagliato","","Mike Daum","missed",1,1,390,168
"2 punti sbagliato","","Kyle Weems","missed",164,164,885,336
"3 punti segnato","","Olivier Hanlan","made",175,175,390,868
"2 punti segnato","Mike Daum","Retin Obasohan","made",189,189,765,168
"3 punti sbagliato","","Sean Mcdermott","missed",199,199,225,700
"2 punti segnato","Davide Moretti","Olivier Hanlan","made",212,212,705,728
"3 punti sbagliato","","Mike Daum","missed",229,229,750,896
"2 punti segnato","","Leon Radosevic","made",229,229,750,896
"3 punti sbagliato","","Davide Moretti","missed",242,242,180,616
"2 punti sbagliato","","Retin Obasohan","missed",250,250,765,224
"2 punti segnato","","Mike Daum","made",250,250,765,224
"3 punti segnato","Davide Moretti","Gabe Brown","made",272,272,240,756
"2 punti sbagliato","","Mike Daum","missed",291,291,720,336
"3 punti sbagliato","","Kyle Weems","missed",301,301,315,728
"2 punti segnato","","Kyle Weems","made",301,301,420,560
"2 punti segnato","","Olivier Hanlan","made",309,309,735,168
"3 punti sbagliato","","Chris Dowe","missed",323,323,900,952
"2 punti sbagliato","","Willie Cauley-Stein","missed",338,338,825,476
"2 punti segnato","Retin Obasohan","Leon Radosevic","made",350,350,810,140
"2 punti segnato","","Olivier Hanlan","made",373,373,975,560
"2 punti segnato","Kyle Weems","Leon Radosevic","made",394,394,810,140
"3 punti sbagliato","","Olivier Hanlan","missed",411,411,360,784
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",436,436,1470,140
"2 punti segnato","","Retin Obasohan","made",452,452,525,672
"3 punti segnato","","Gabe Brown","made",467,467,330,784
"2 punti sbagliato","","Leonardo Candi","missed",502,502,795,280
"3 punti sbagliato","","Leonardo Candi","missed",506,506,1455,196
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",512,512,1035,840
"2 punti segnato","","Tashawn Thomas","made",529,529,660,112
"2 punti sbagliato","","Tashawn Thomas","missed",555,555,690,252
"2 punti segnato","","Vinnie Shahid","made",562,562,675,196
"2 punti segnato","Tommaso Baldasso","Arturs Strautins","made",569,569,795,140
"3 punti sbagliato","","Vinnie Shahid","missed",593,593,555,896
"3 punti sbagliato","","Tommaso Baldasso","missed",598,598,765,1176
"3 punti segnato","","Tommaso Baldasso","made",3,603,420,840
"3 punti sbagliato","","Sean Mcdermott","missed",24,624,375,812
"3 punti sbagliato","","Tommaso Baldasso","missed",39,639,540,896
"2 punti segnato","","Leonardo Candi","made",65,665,825,112
"3 punti sbagliato","","Arturs Strautins","missed",89,689,1470,140
"3 punti sbagliato","","Tommaso Baldasso","missed",99,699,375,812
"3 punti segnato","","Olivier Hanlan","made",129,729,195,700
"2 punti sbagliato","","Arturs Strautins","missed",147,747,420,532
"2 punti segnato","","Sean Mcdermott","made",163,763,780,476
"3 punti sbagliato","","Luca Severini","missed",185,785,270,756
"3 punti sbagliato","","Olivier Hanlan","missed",196,796,465,840
"2 punti sbagliato","","Tommaso Baldasso","missed",207,807,420,644
"3 punti sbagliato","","Vinnie Shahid","missed",217,817,765,896
"2 punti sbagliato","","Leonardo Candi","missed",233,833,990,392
"2 punti segnato","","Tashawn Thomas","made",233,833,990,392
"2 punti segnato","Olivier Hanlan","Willie Cauley-Stein","made",249,849,675,140
"2 punti sbagliato","","Olivier Hanlan","missed",284,884,675,336
"2 punti sbagliato","","Arturs Strautins","missed",293,893,780,252
"3 punti sbagliato","","Sean Mcdermott","missed",308,908,285,812
"3 punti sbagliato","","Chris Dowe","missed",351,951,1035,896
"3 punti sbagliato","","Mike Daum","missed",358,958,1275,728
"3 punti segnato","Gabe Brown","Sean Mcdermott","made",371,971,1470,84
"3 punti segnato","","Davide Moretti","made",402,1002,1215,756
"2 punti segnato","Olivier Hanlan","Scott Ulaneo","made",432,1032,675,224
"2 punti segnato","","Kyle Weems","made",447,1047,1125,308
"2 punti segnato","Olivier Hanlan","Gabe Brown","made",460,1060,750,140
"2 punti segnato","Retin Obasohan","Kyle Weems","made",474,1074,795,196
"3 punti sbagliato","","Gabe Brown","missed",500,1100,45,308
"2 punti sbagliato","","Kyle Weems","missed",521,1121,495,420
"2 punti segnato","","Chris Dowe","made",546,1146,690,140
"3 punti sbagliato","","Olivier Hanlan","missed",561,1161,465,868
"2 punti segnato","","Retin Obasohan","made",599,1199,735,224
"2 punti segnato","Sean Mcdermott","Willie Cauley-Stein","made",18,1218,735,196
"3 punti sbagliato","","Chris Dowe","missed",44,1244,1260,756
"2 punti sbagliato","","Gabe Brown","missed",50,1250,645,140
"3 punti segnato","Willie Cauley-Stein","Gabe Brown","made",56,1256,90,504
"3 punti segnato","","Retin Obasohan","made",74,1274,855,868
"3 punti segnato","Davide Moretti","Olivier Hanlan","made",87,1287,345,840
"2 punti sbagliato","","Chris Dowe","missed",108,1308,1035,532
"3 punti segnato","Olivier Hanlan","Sean Mcdermott","made",116,1316,1470,84
"2 punti sbagliato","","Retin Obasohan","missed",131,1331,825,168
"3 punti sbagliato","","Sean Mcdermott","missed",138,1338,1395,448
"2 punti segnato","Chris Dowe","Kyle Weems","made",159,1359,1365,280
"3 punti sbagliato","","Sean Mcdermott","missed",182,1382,1455,364
"2 punti sbagliato","","Mike Daum","missed",196,1396,585,252
"3 punti sbagliato","","Willie Cauley-Stein","missed",203,1403,1125,840
"3 punti sbagliato","","Mike Daum","missed",216,1416,405,924
"3 punti sbagliato","","Davide Moretti","missed",238,1438,255,728
"2 punti segnato","","Mike Daum","made",244,1444,780,140
"3 punti sbagliato","","Vinnie Shahid","missed",264,1464,1170,896
"2 punti segnato","Kyle Weems","Mike Daum","made",284,1484,780,168
"2 punti segnato","Sean Mcdermott","Willie Cauley-Stein","made",300,1500,735,168
"3 punti sbagliato","","Davide Moretti","missed",344,1544,975,896
"2 punti segnato","","Leon Radosevic","made",369,1569,585,252
"2 punti sbagliato","","Davide Moretti","missed",386,1586,630,196
"2 punti sbagliato","","Willie Cauley-Stein","missed",392,1592,600,476
"3 punti sbagliato","","Retin Obasohan","missed",404,1604,945,868
"2 punti segnato","","Kyle Weems","made",421,1621,435,644
"3 punti sbagliato","","Davide Moretti","missed",428,1628,1215,756
"3 punti sbagliato","","Sean Mcdermott","missed",494,1694,1380,560
"2 punti segnato","","Kyle Weems","made",511,1711,585,252
"2 punti sbagliato","","Vinnie Shahid","missed",529,1729,570,532
"3 punti segnato","Vinnie Shahid","Olivier Hanlan","made",536,1736,210,644
"3 punti segnato","Leonardo Candi","Tommaso Baldasso","made",552,1752,915,924
"2 punti segnato","Sean Mcdermott","Scott Ulaneo","made",568,1768,840,140
"3 punti sbagliato","","Olivier Hanlan","missed",592,1792,855,952
"3 punti sbagliato","","Tommaso Baldasso","missed",600,1800,1110,616
"2 punti sbagliato","","Tommaso Baldasso","missed",4,1804,540,784
"2 punti segnato","","Vinnie Shahid","made",17,1817,930,364
"2 punti segnato","Retin Obasohan","Tashawn Thomas","made",34,1834,795,140
"2 punti sbagliato","","Sean Mcdermott","missed",58,1858,570,196
"3 punti sbagliato","","Luca Severini","missed",84,1884,315,756
"3 punti sbagliato","","Leonardo Candi","missed",112,1912,975,896
"2 punti sbagliato","","Leonardo Candi","missed",129,1929,885,504
"3 punti sbagliato","","Olivier Hanlan","missed",137,1937,1170,784
"2 punti segnato","Chris Dowe","Tashawn Thomas","made",155,1955,765,168
"3 punti segnato","Vinnie Shahid","Gabe Brown","made",200,2000,630,952
"2 punti sbagliato","","Tommaso Baldasso","missed",224,2024,915,644
"3 punti sbagliato","","Kyle Weems","missed",228,2028,465,840
"3 punti sbagliato","","Sean Mcdermott","missed",249,2049,885,896
"2 punti segnato","Retin Obasohan","Chris Dowe","made",276,2076,435,308
"2 punti segnato","Kyle Weems","Leon Radosevic","made",299,2099,900,196
"3 punti sbagliato","","Davide Moretti","missed",329,2129,1020,868
"2 punti sbagliato","","Vinnie Shahid","missed",366,2166,615,168
"2 punti sbagliato","","Sean Mcdermott","missed",392,2192,570,196
"2 punti sbagliato","","Kyle Weems","missed",415,2215,915,392
"2 punti sbagliato","","Leon Radosevic","missed",457,2257,615,672
"3 punti segnato","Olivier Hanlan","Davide Moretti","made",478,2278,1140,840
"2 punti segnato","","Chris Dowe","made",497,2297,870,672
"2 punti sbagliato","","Olivier Hanlan","missed",509,2309,885,196
"3 punti sbagliato","","Olivier Hanlan","missed",536,2336,735,980
"3 punti sbagliato","","Chris Dowe","missed",556,2356,255,700
"3 punti segnato","Sean Mcdermott","Olivier Hanlan","made",578,2378,765,896
"3 punti segnato","Chris Dowe","Kyle Weems","made",595,2395,720,896
"2 punti segnato","Kevin Juwan Hervey","Mouhamed Faye","made",17,17,750,140
"2 punti segnato","Davide Denegri","Grant Golden","made",39,39,705,168
"3 punti sbagliato","","Andrea Pecchia","missed",71,71,705,896
"2 punti sbagliato","","Langston Galloway","missed",78,78,705,252
"3 punti sbagliato","","Davide Denegri","missed",106,106,825,896
"3 punti segnato","Briante Weber","Kevin Juwan Hervey","made",129,129,555,896
"2 punti segnato","","Briante Weber","made",143,143,705,364
"2 punti segnato","Grant Golden","Andrea Pecchia","made",157,157,840,224
"2 punti sbagliato","","Kevin Juwan Hervey","missed",167,167,900,196
"3 punti segnato","","Briante Weber","made",176,176,390,812
"2 punti segnato","Andrea Pecchia","Grant Golden","made",197,197,855,196
"2 punti segnato","Briante Weber","Mouhamed Faye","made",212,212,735,140
"2 punti segnato","","Kevin Juwan Hervey","made",258,258,1065,224
"2 punti segnato","","Kevin Juwan Hervey","made",292,292,960,392
"3 punti sbagliato","","Wayne Mccullough","missed",317,317,480,868
"2 punti sbagliato","","Michele Vitali","missed",348,348,1080,616
"2 punti sbagliato","","Mouhamed Faye","missed",374,374,735,448
"2 punti segnato","","Mouhamed Faye","made",394,394,750,140
"3 punti segnato","Nathan Adrian","Marcus Zegarowski","made",400,400,1230,756
"2 punti sbagliato","","Kevin Juwan Hervey","missed",422,422,645,196
"3 punti segnato","Marcus Zegarowski","Nathan Adrian","made",432,432,300,756
"3 punti segnato","Sasha Grant","Jamar Smith","made",458,458,390,868
"3 punti segnato","Simone Zanotti","Marcus Zegarowski","made",475,475,780,896
"2 punti segnato","","Jamar Smith","made",503,503,915,700
"2 punti segnato","Trevor Lacey","Nathan Adrian","made",521,521,675,196
"3 punti sbagliato","","Kevin Juwan Hervey","missed",538,538,1035,868
"2 punti segnato","Trevor Lacey","Simone Zanotti","made",554,554,645,140
"3 punti segnato","","Jamar Smith","made",564,564,1215,784
"3 punti segnato","Trevor Lacey","Nathan Adrian","made",589,589,450,812
"3 punti sbagliato","","Trevor Lacey","missed",21,621,945,868
"2 punti sbagliato","","Trevor Lacey","missed",43,643,825,196
"2 punti sbagliato","","Darion Atkins","missed",81,681,1080,280
"3 punti sbagliato","","Simone Zanotti","missed",96,696,420,952
"3 punti segnato","Trevor Lacey","Nathan Adrian","made",102,702,1125,812
"3 punti segnato","","Jamar Smith","made",117,717,465,868
"2 punti sbagliato","","Matteo Chillo","missed",190,790,855,252
"2 punti segnato","","Briante Weber","made",229,829,675,560
"2 punti sbagliato","","Simone Zanotti","missed",257,857,375,308
"3 punti segnato","Matteo Piccoli","Trevor Lacey","made",263,863,1095,840
"2 punti segnato","","Briante Weber","made",279,879,540,560
"3 punti sbagliato","","Matteo Chillo","missed",322,922,840,952
"2 punti segnato","","Nathan Adrian","made",330,930,690,196
"3 punti sbagliato","","Jamar Smith","missed",333,933,1185,868
"3 punti segnato","Trevor Lacey","Nathan Adrian","made",355,955,825,868
"3 punti segnato","Briante Weber","Kevin Juwan Hervey","made",372,972,1260,728
"2 punti segnato","Simone Zanotti","Davide Denegri","made",394,994,540,476
"2 punti segnato","","Jamar Smith","made",408,1008,585,672
"2 punti segnato","Davide Denegri","Paul Eboua","made",434,1034,855,168
"3 punti segnato","Kevin Juwan Hervey","Langston Galloway","made",456,1056,975,924
"3 punti sbagliato","","Davide Denegri","missed",476,1076,750,896
"2 punti sbagliato","","Briante Weber","missed",484,1084,555,476
"3 punti sbagliato","","Paul Eboua","missed",501,1101,1260,756
"2 punti sbagliato","","Davide Denegri","missed",525,1125,645,224
"3 punti segnato","","Langston Galloway","made",541,1141,1230,896
"3 punti segnato","Marcus Zegarowski","Nathan Adrian","made",555,1155,300,756
"3 punti segnato","Briante Weber","Langston Galloway","made",579,1179,1185,952
"2 punti segnato","","Marcus Zegarowski","made",592,1192,870,280
"3 punti sbagliato","","Michele Vitali","missed",10,1210,1470,280
"2 punti sbagliato","","Mouhamed Faye","missed",24,1224,645,168
"2 punti sbagliato","","Nathan Adrian","missed",41,1241,780,448
"3 punti segnato","Nathan Adrian","Wayne Mccullough","made",50,1250,1245,728
"2 punti segnato","Langston Galloway","Mouhamed Faye","made",56,1256,735,196
"2 punti segnato","","Michele Vitali","made",56,1256,825,196
"3 punti segnato","Marcus Zegarowski","Wayne Mccullough","made",64,1264,1185,840
"2 punti segnato","","Langston Galloway","made",81,1281,480,588
"2 punti segnato","Grant Golden","Marcus Zegarowski","made",93,1293,855,168
"2 punti sbagliato","","Davide Denegri","missed",142,1342,750,308
"2 punti segnato","","Wayne Mccullough","made",142,1342,675,168
"2 punti sbagliato","","Michele Vitali","missed",158,1358,495,700
"2 punti sbagliato","","Langston Galloway","missed",199,1399,480,560
"2 punti sbagliato","","Marcus Zegarowski","missed",206,1406,900,448
"3 punti segnato","Jamar Smith","Michele Vitali","made",236,1436,135,588
"2 punti segnato","","Mouhamed Faye","made",284,1484,735,280
"3 punti segnato","Jamar Smith","Langston Galloway","made",321,1521,735,952
"3 punti segnato","","Wayne Mccullough","made",349,1549,1155,784
"3 punti sbagliato","","Langston Galloway","missed",370,1570,1185,1176
"3 punti sbagliato","","Simone Zanotti","missed",385,1585,765,980
"3 punti segnato","","Jamar Smith","made",394,1594,825,924
"3 punti segnato","Jamar Smith","Langston Galloway","made",427,1627,105,532
"2 punti sbagliato","","Trevor Lacey","missed",450,1650,840,364
"3 punti sbagliato","","Michele Vitali","missed",467,1667,315,812
"2 punti segnato","","Grant Golden","made",487,1687,690,168
"2 punti segnato","Langston Galloway","Darion Atkins","made",572,1772,630,280
"3 punti segnato","","Trevor Lacey","made",587,1787,1185,812
"3 punti segnato","Langston Galloway","Kevin Juwan Hervey","made",14,1814,1380,672
"3 punti sbagliato","","Trevor Lacey","missed",36,1836,495,924
"3 punti sbagliato","","Trevor Lacey","missed",47,1847,1125,812
"3 punti sbagliato","","Trevor Lacey","missed",66,1866,675,896
"2 punti segnato","Matteo Piccoli","Grant Golden","made",72,1872,825,196
"2 punti sbagliato","","Trevor Lacey","missed",118,1918,1005,504
"2 punti segnato","","Briante Weber","made",134,1934,1005,336
"3 punti sbagliato","","Matteo Piccoli","missed",153,1953,75,364
"3 punti sbagliato","","Jamar Smith","missed",158,1958,1440,392
"2 punti sbagliato","","Nathan Adrian","missed",175,1975,705,196
"3 punti sbagliato","","Kevin Juwan Hervey","missed",190,1990,1440,420
"2 punti segnato","Briante Weber","Mouhamed Faye","made",222,2022,750,140
"2 punti sbagliato","","Mouhamed Faye","missed",254,2054,585,392
"3 punti segnato","Davide Denegri","Marcus Zegarowski","made",276,2076,1440,420
"3 punti sbagliato","","Jamar Smith","missed",308,2108,1095,924
"3 punti sbagliato","","Wayne Mccullough","missed",364,2164,375,784
"2 punti segnato","Kevin Juwan Hervey","Langston Galloway","made",376,2176,570,644
"2 punti segnato","","Davide Denegri","made",400,2200,1035,700
"3 punti segnato","","Langston Galloway","made",405,2205,1260,924
"3 punti sbagliato","","Davide Denegri","missed",421,2221,1200,784
"2 punti segnato","","Langston Galloway","made",429,2229,945,252
"3 punti sbagliato","","Langston Galloway","missed",507,2307,255,812
"3 punti sbagliato","","Wayne Mccullough","missed",518,2318,75,420
"2 punti segnato","Wayne Mccullough","Paul Eboua","made",560,2360,750,140
"3 punti segnato","","Trevor Lacey","made",577,2377,765,980
"3 punti sbagliato","","Davide Denegri","missed",597,2397,1440,420
"2 punti segnato","Paul Stephan Biligha","Andrejs Grazulis","made",18,18,855,224
"2 punti sbagliato","","Sean Mcdermott","missed",37,37,945,392
"3 punti sbagliato","","Sean Mcdermott","missed",46,46,45,476
"3 punti sbagliato","","Prentiss Hubb","missed",54,54,240,756
"3 punti sbagliato","","Olivier Hanlan","missed",75,75,990,896
"3 punti sbagliato","","Andrejs Grazulis","missed",84,84,1290,644
"3 punti segnato","Olivier Hanlan","Gabe Brown","made",99,99,1275,756
"2 punti segnato","Paul Stephan Biligha","Andrejs Grazulis","made",117,117,615,196
"2 punti segnato","Davide Moretti","Willie Cauley-Stein","made",132,132,600,224
"2 punti sbagliato","","Andrejs Grazulis","missed",147,147,555,252
"3 punti sbagliato","","Sean Mcdermott","missed",159,159,1200,896
"2 punti segnato","","Quinn Ellis","made",169,169,675,280
"2 punti sbagliato","","Davide Moretti","missed",185,185,570,280
"2 punti segnato","","Sean Mcdermott","made",203,203,675,224
"3 punti sbagliato","","Quinn Ellis","missed",218,218,1095,840
"3 punti sbagliato","","Gabe Brown","missed",231,231,345,812
"3 punti segnato","Gabe Brown","Sean Mcdermott","made",249,249,90,476
"2 punti sbagliato","","Paul Stephan Biligha","missed",267,267,1155,364
"2 punti segnato","Olivier Hanlan","Willie Cauley-Stein","made",276,276,765,308
"2 punti segnato","","Paul Stephan Biligha","made",297,297,1065,280
"3 punti sbagliato","","Gabe Brown","missed",318,318,810,952
"3 punti segnato","Andriu Tomas Woldetensae","Sean Mcdermott","made",322,322,270,700
"2 punti segnato","Prentiss Hubb","Davide Alviti","made",340,340,675,140
"3 punti sbagliato","","Sean Mcdermott","missed",356,356,1455,448
"3 punti segnato","Prentiss Hubb","Toto Forray","made",366,366,1035,868
"2 punti sbagliato","","Paul Stephan Biligha","missed",396,396,915,504
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",414,414,1095,868
"3 punti sbagliato","","Toto Forray","missed",430,430,135,644
"2 punti sbagliato","","Prentiss Hubb","missed",436,436,1125,448
"2 punti segnato","Davide Alviti","Derek Cooke","made",461,461,900,252
"3 punti segnato","Vinnie Shahid","Gabe Brown","made",476,476,45,336
"2 punti sbagliato","","Derek Cooke","missed",489,489,705,364
"3 punti segnato","Andriu Tomas Woldetensae","","made",507,507,915,924
"3 punti sbagliato","","Mattia Udom","missed",527,527,45,420
"3 punti segnato","Vinnie Shahid","","made",550,550,105,644
"2 punti segnato","Olivier Hanlan","Gabe Brown","made",577,577,825,224
"2 punti sbagliato","","Prentiss Hubb","missed",20,620,840,336
"2 punti segnato","Andrejs Grazulis","Derek Cooke","made",24,624,720,224
"3 punti sbagliato","","Olivier Hanlan","missed",56,656,1215,868
"3 punti segnato","Toto Forray","Prentiss Hubb","made",68,668,1245,728
"2 punti sbagliato","","Andriu Tomas Woldetensae","missed",86,686,615,252
"2 punti sbagliato","","Quinn Ellis","missed",93,693,990,252
"3 punti segnato","Olivier Hanlan","Andriu Tomas Woldetensae","made",106,706,1365,644
"2 punti sbagliato","","Toto Forray","missed",114,714,1050,420
"3 punti sbagliato","","Quinn Ellis","missed",122,722,420,840
"2 punti segnato","","Andrejs Grazulis","made",126,726,825,196
"3 punti sbagliato","","Vinnie Shahid","missed",139,739,540,980
"3 punti sbagliato","","Prentiss Hubb","missed",147,747,1140,784
"2 punti sbagliato","","Sean Mcdermott","missed",182,782,945,672
"2 punti sbagliato","","Andrejs Grazulis","missed",195,795,1065,196
"3 punti sbagliato","","Olivier Hanlan","missed",219,819,195,756
"2 punti sbagliato","","Luca Conti","missed",238,838,675,112
"2 punti segnato","","Andrejs Grazulis","made",242,842,825,308
"3 punti segnato","Prentiss Hubb","Andrejs Grazulis","made",271,871,435,868
"2 punti segnato","","Paul Stephan Biligha","made",301,901,780,196
"2 punti sbagliato","","Sean Mcdermott","missed",310,910,795,168
"2 punti segnato","Paul Stephan Biligha","Mattia Udom","made",322,922,870,224
"3 punti sbagliato","","Gabe Brown","missed",342,942,330,812
"2 punti segnato","Sean Mcdermott","Gabe Brown","made",350,950,645,280
"3 punti sbagliato","","Prentiss Hubb","missed",365,965,1065,896
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",384,984,795,952
"2 punti segnato","Luca Conti","Paul Stephan Biligha","made",396,996,870,532
"3 punti sbagliato","","Davide Alviti","missed",423,1023,345,756
"3 punti sbagliato","","Davide Moretti","missed",444,1044,1050,840
"2 punti sbagliato","","Paul Stephan Biligha","missed",460,1060,930,616
"2 punti sbagliato","","Davide Moretti","missed",468,1068,495,252
"2 punti segnato","","Sean Mcdermott","made",474,1074,840,224
"2 punti sbagliato","","Mattia Udom","missed",490,1090,720,112
"3 punti sbagliato","","Davide Moretti","missed",496,1096,60,364
"2 punti segnato","","Andriu Tomas Woldetensae","made",538,1138,360,196
"2 punti segnato","Toto Forray","Davide Alviti","made",552,1152,735,448
"3 punti segnato","","Davide Moretti","made",563,1163,675,952
"2 punti segnato","Toto Forray","Paul Stephan Biligha","made",578,1178,1275,224
"2 punti segnato","","Davide Moretti","made",598,1198,750,644
"2 punti sbagliato","","Andrejs Grazulis","missed",12,1212,885,280
"2 punti sbagliato","","Olivier Hanlan","missed",50,1250,900,140
"2 punti sbagliato","","Paul Stephan Biligha","missed",67,1267,915,504
"3 punti segnato","","Prentiss Hubb","made",106,1306,1140,812
"2 punti segnato","","Gabe Brown","made",128,1328,795,560
"2 punti sbagliato","","Paul Stephan Biligha","missed",142,1342,795,588
"3 punti sbagliato","","Prentiss Hubb","missed",162,1362,810,952
"3 punti sbagliato","","Prentiss Hubb","missed",168,1368,720,896
"2 punti sbagliato","","Quinn Ellis","missed",176,1376,870,224
"2 punti segnato","","Andrejs Grazulis","made",179,1379,810,280
"3 punti sbagliato","","Andrejs Grazulis","missed",201,1401,450,896
"3 punti segnato","","Davide Moretti","made",212,1412,225,700
"2 punti segnato","Myles Stephens","Paul Stephan Biligha","made",239,1439,930,588
"2 punti segnato","Olivier Hanlan","Willie Cauley-Stein","made",253,1453,825,280
"2 punti segnato","Davide Alviti","Derek Cooke","made",280,1480,615,224
"3 punti segnato","Olivier Hanlan","Davide Moretti","made",295,1495,375,840
"2 punti sbagliato","","Davide Alviti","missed",309,1509,765,280
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",316,1516,150,728
"2 punti sbagliato","","Sean Mcdermott","missed",322,1522,600,196
"3 punti segnato","Davide Alviti","Prentiss Hubb","made",330,1530,315,784
"2 punti segnato","","Olivier Hanlan","made",355,1555,960,476
"3 punti sbagliato","","Prentiss Hubb","missed",362,1562,1305,644
"2 punti sbagliato","","Toto Forray","missed",389,1589,675,224
"3 punti sbagliato","","Gabe Brown","missed",409,1609,1200,812
"2 punti segnato","Mattia Udom","Quinn Ellis","made",427,1627,825,224
"3 punti sbagliato","","Sean Mcdermott","missed",434,1634,330,784
"3 punti segnato","Vinnie Shahid","Sean Mcdermott","made",454,1654,75,588
"2 punti segnato","Toto Forray","Davide Alviti","made",474,1674,540,280
"2 punti sbagliato","","Vinnie Shahid","missed",495,1695,1050,280
"3 punti segnato","Derek Cooke","Davide Alviti","made",503,1703,1020,868
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",514,1714,90,532
"2 punti segnato","","Olivier Hanlan","made",539,1739,1065,448
"3 punti segnato","","Toto Forray","made",548,1748,555,896
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",567,1767,1050,840
"2 punti sbagliato","","Olivier Hanlan","missed",579,1779,705,252
"3 punti sbagliato","","Mattia Udom","missed",597,1797,1245,1008
"2 punti sbagliato","","Derek Cooke","missed",29,1829,825,308
"2 punti segnato","","Andriu Tomas Woldetensae","made",43,1843,825,364
"3 punti sbagliato","","Sean Mcdermott","missed",81,1881,285,840
"2 punti sbagliato","","Toto Forray","missed",99,1899,480,336
"2 punti sbagliato","","Sean Mcdermott","missed",105,1905,540,280
"2 punti segnato","","Davide Moretti","made",124,1924,870,112
"3 punti segnato","Davide Moretti","Sean Mcdermott","made",153,1953,1170,868
"3 punti segnato","","Prentiss Hubb","made",174,1974,1185,784
"3 punti segnato","Davide Moretti","Gabe Brown","made",192,1992,1455,476
"3 punti segnato","Prentiss Hubb","Paul Stephan Biligha","made",206,2006,825,896
"3 punti sbagliato","","Gabe Brown","missed",225,2025,30,112
"2 punti segnato","Paul Stephan Biligha","Davide Alviti","made",237,2037,720,644
"2 punti segnato","","Willie Cauley-Stein","made",253,2053,735,224
"3 punti sbagliato","","Prentiss Hubb","missed",266,2066,810,924
"3 punti segnato","Davide Alviti","Mattia Udom","made",295,2095,315,840
"2 punti sbagliato","","Olivier Hanlan","missed",312,2112,780,448
"2 punti sbagliato","","Willie Cauley-Stein","missed",315,2115,765,196
"3 punti sbagliato","","Davide Alviti","missed",332,2132,75,224
"3 punti sbagliato","","Andriu Tomas Woldetensae","missed",350,2150,1065,896
"3 punti segnato","","Quinn Ellis","made",387,2187,165,700
"3 punti sbagliato","","Sean Mcdermott","missed",406,2206,45,308
"3 punti sbagliato","","Prentiss Hubb","missed",452,2252,360,924
"3 punti segnato","Prentiss Hubb","Davide Alviti","made",464,2264,930,952
"3 punti sbagliato","","Prentiss Hubb","missed",524,2324,1275,784
"2 punti sbagliato","","Luca Conti","missed",524,2324,645,140
"3 punti sbagliato","","Davide Moretti","missed",541,2341,885,952
"3 punti sbagliato","","Gabe Brown","missed",565,2365,510,840
"2 punti segnato","","Prentiss Hubb","made",590,2390,1065,588
"3 punti sbagliato","","Sean Mcdermott","missed",600,2400,1215,840
"3 punti sbagliato","","Gabe Brown","missed",600,2400,825,952
"3 punti sbagliato","","Aamir Simms","missed",29,29,1230,700
"2 punti sbagliato","","D'Angelo Harrison","missed",40,40,1065,532
"2 punti segnato","","Amedeo Tessitori","made",60,60,720,224
"2 punti segnato","","Deishuan Booker","made",73,73,780,672
"2 punti segnato","Davide Casarin","Amedeo Tessitori","made",93,93,765,140
"2 punti segnato","Deishuan Booker","D'Angelo Harrison","made",133,133,1005,616
"2 punti segnato","","Amedeo Tessitori","made",149,149,765,140
"3 punti sbagliato","","James Young","missed",167,167,1350,756
"2 punti segnato","","Pauly Paulicap","made",178,178,720,196
"3 punti sbagliato","","Terry Allen","missed",231,231,570,868
"2 punti sbagliato","","Aamir Simms","missed",231,231,750,140
"2 punti segnato","","James Young","made",231,231,750,196
"2 punti segnato","D'Angelo Harrison","Pauly Paulicap","made",259,259,750,196
"3 punti sbagliato","","Kyle Wiltjer","missed",273,273,1485,112
"2 punti segnato","Deishuan Booker","Pauly Paulicap","made",286,286,765,168
"3 punti segnato","","Marco Spissu","made",309,309,450,868
"3 punti segnato","","D'Angelo Harrison","made",328,328,1020,868
"2 punti segnato","","Marco Spissu","made",346,346,780,168
"3 punti segnato","Terry Allen","Deishuan Booker","made",360,360,315,784
"3 punti sbagliato","","Aamir Simms","missed",371,371,1035,868
"2 punti sbagliato","","Deishuan Booker","missed",386,386,555,308
"3 punti sbagliato","","D'Angelo Harrison","missed",394,394,1485,84
"3 punti sbagliato","","Rayjon Tucker","missed",406,406,690,952
"2 punti sbagliato","","James Young","missed",416,416,1380,140
"2 punti segnato","","Alex O'Connell","made",425,425,780,616
"2 punti segnato","","Terry Allen","made",447,447,795,196
"2 punti sbagliato","","Ky Bowman","missed",482,482,750,532
"3 punti segnato","Aamir Simms","Barry Brown Jr","made",495,495,1365,644
"2 punti sbagliato","","Barry Brown Jr","missed",536,536,750,392
"3 punti sbagliato","","D'Angelo Harrison","missed",548,548,750,896
"3 punti sbagliato","","Barry Brown Jr","missed",558,558,285,756
"2 punti segnato","Kyle Wiltjer","Alex O'Connell","made",570,570,765,140
"2 punti sbagliato","","Ky Bowman","missed",595,595,705,280
