"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","","Mike Daum","made",433,2233,960,336
"3 punti segnato","David Reginald Cournooh","Amedeo Della Valle","made",458,2258,1065,896
"2 punti sbagliato","","Nicolas Tanfoglio","missed",494,2294,480,476
"3 punti sbagliato","","Amedeo Della Valle","missed",498,2298,225,672
"2 punti segnato","","Arturs Strautins","made",503,2303,555,196
"2 punti sbagliato","","David Reginald Cournooh","missed",525,2325,585,700
"2 punti segnato","Arturs Strautins","Mike Daum","made",537,2337,885,112
"2 punti segnato","Amedeo Della Valle","Michael Cobbins","made",562,2362,870,280
"2 punti segnato","Tommaso Baldasso","Leon Radosevic","made",582,2382,600,252
"2 punti sbagliato","","Terry Allen","missed",12,12,855,168
"2 punti segnato","","Pauly Paulicap","made",19,19,780,168
"3 punti segnato","","Gerald Robinson","made",26,26,495,868
"3 punti segnato","","James Young","made",50,50,1095,840
"3 punti segnato","Gerald Robinson","Demetre Rivers","made",67,67,1455,280
"3 punti segnato","D'Angelo Harrison","James Young","made",94,94,1485,196
"2 punti sbagliato","","John Richard Nunge","missed",110,110,705,224
"3 punti segnato","D'Angelo Harrison","Deishuan Booker","made",118,118,1185,784
"2 punti sbagliato","","Demetre Rivers","missed",139,139,1095,616
"2 punti segnato","","Kruize Pinkins","made",150,150,855,252
"2 punti sbagliato","","Kruize Pinkins","missed",176,176,825,308
"2 punti segnato","","","made",183,183,765,224
"2 punti sbagliato","","Deishuan Booker","missed",198,198,840,224
"3 punti segnato","Gerald Robinson","Kruize Pinkins","made",219,219,1455,112
"2 punti segnato","","D'Angelo Harrison","made",240,240,900,448
"2 punti segnato","Gerald Robinson","John Richard Nunge","made",264,264,735,168
"2 punti sbagliato","","Pauly Paulicap","missed",275,275,840,392
"3 punti sbagliato","","D'Angelo Harrison","missed",284,284,615,924
"3 punti segnato","Terry Allen","James Young","made",295,295,390,840
"2 punti sbagliato","","Riccardo Rossato","missed",306,306,915,336
"3 punti sbagliato","","James Young","missed",380,380,1395,700
"2 punti sbagliato","","Gerald Robinson","missed",386,386,825,224
"2 punti sbagliato","","Gerald Robinson","missed",414,414,735,280
"2 punti sbagliato","","Terry Allen","missed",422,422,540,420
"2 punti sbagliato","","Terry Allen","missed",472,472,480,308
"2 punti segnato","","Alessandro Zanelli","made",478,478,795,196
"2 punti segnato","","Kruize Pinkins","made",502,502,600,252
"3 punti segnato","","D'Angelo Harrison","made",516,516,765,1064
"3 punti segnato","Kruize Pinkins","Janis Strelnieks","made",552,552,60,224
"3 punti sbagliato","","Terry Allen","missed",567,567,45,140
